商品名称,品牌,产品编码,盒码编码,产品类型,包装类型,烟支周长(mm),烟支长度,包装数量,上市时间,焦油含量(mg),烟气烟碱量(mg),烟气一氧化碳量(mg),颜色,所属企业,是否爆珠,价格类型,零售价,单位
玉溪(华叶),玉溪,6901028054980,6901028054973,烤烟型,条盒软盒,24.20,84.0(30+54) mm,200.00,2016-12-09,10.00,1.00,11.00,黄,红塔集团,是,一类,450,元/条
南京(红楼卷新版),南京,6901028112413,6901028112383,烤烟型,条盒硬盒,17.00,97.0(30+67) mm,200.00,2023-06-07,5.00,0.50,4.00,金,江苏中烟,否,一类,400,元/条
玉溪(细支庄园),玉溪,6901028052788,6901028052771,烤烟型,条盒硬盒,17.00,100.0(30+70) mm,200.00,2015-11-19,8.00,0.80,7.00,黄,红塔集团,否,一类,600,元/条
黄金叶(爱尚),黄金叶,6901028165242,6901028165235,烤烟型,条盒硬盒,17.00,97.0(30+67) mm,200.00,2014-06-14,7.00,0.60,5.00,金,河南中烟,否,二类,160,元/条
金圣(滕王阁·紫光),金圣,6901028224079,6901028224062,烤烟型,条盒硬盒,17.00,97.0(30+67) mm,200.00,2016-08-18,8.00,0.80,7.00,紫,江西中烟,否,二类,150,元/条
黄金叶(天尊),黄金叶,6901028165518,6901028165501,烤烟型,条盒硬盒,24.30,75.0(25+50) mm,200.00,2018-02-08,10.00,1.00,10.00,金,河南中烟,否,一类,600,元/条
玉溪(中支华叶),玉溪,6901028052849,6901028052832,烤烟型,条盒硬盒,20.00,88.0(30+58) mm,200.00,2018-01-29,8.00,0.80,8.00,金,红塔集团,否,一类,800,元/条
黄鹤楼(1916中支),黄鹤楼,6901028178259,6901028178242,烤烟型,条盒硬盒,20.00,89(25+64) mm,200.00,2023-06-19,9.00,0.80,9.00,黄色,湖北中烟,否,一类,1200,元/条
玉溪(双中支翡翠),玉溪,6901028317573,6901028317559,烤烟型,条盒硬盒,20.00,88.0(30+58) mm,200.00,2019-01-18,8.00,0.80,8.00,金,红塔集团,否,一类,1000,元/条
林海灵芝(8mg),林海灵芝,6901028103480,6901028103473,混合型,条盒硬盒,24.20,84.0(25+59) mm,200.00,2008-12-08,8.00,0.80,11.00,白色,黑龙江中烟,否,三类,55,元/条
娇子(宽窄逍遥),娇子,6901028042758,6901028042741,烤烟型,条盒硬盒,24.40,84.0(30+54) mm,200.00,2017-03-27,10.00,1.10,12.00,银灰,四川中烟,是,一类,800,元/条
熊猫(硬经典),熊猫,6901028212588,6901028212571,烤烟型,条盒硬盒,24.50,84(30+54) mm,200.00,2023-12-01,10.00,1.00,9.00,绿色,上海,否,一类,1000,元/条
玉溪(软境界),玉溪,6901028316125,6901028316002,烤烟型,条盒软盒,24.20,84.0(30+54) mm,200.00,2009-01-01,10.00,1.00,11.00,棕色,红塔集团,否,一类,1000,元/条
利群(楼外楼),利群,6901028121736,6901028121729,烤烟型,条盒硬盒,22.00,84.0(30+54) mm,200.00,2019-01-13,10.00,0.90,10.00,黄,浙江中烟,否,一类,200,元/条
南京(炫赫门炫彩),南京,6901028116220,6901028116237,烤烟型,条盒硬盒,17.00,97.0(30+67) mm,200.00,2019-06-05,8.00,0.80,6.00,蓝,江苏中烟,否,一类,260,元/条